row,col,data
49,270,0.0480
49,297,0.0599
49,334,0.0034
50,3,0.2130
50,98,0.2199
50,135,0.0821
50,168,0.0558
50,252,0.0746
50,334,0.0034
51,3,0.2130
51,111,0.2370
51,270,0.1922
51,334,0.0034
52,3,0.2130
52,35,0.3498
52,151,0.2309
52,334,0.0034
53,4,0.4678
53,70,0.3208
53,131,0.0788
53,215,0.0472
53,219,0.0811
53,307,0.0656
53,359,0.2576
54,0,0.2404
54,27,0.4982
54,150,0.1167
54,152,0.1153
54,334,0.0034
55,3,0.2130
55,67,0.4689
55,231,0.2171
55,334,0.0034
56,3,0.2130
56,111,0.2370
56,252,0.2237
56,334,0.0034
57,0,0.2404
57,32,0.3200
57,288,0.1949
57,334,0.0034
58,3,0.2130
58,93,0.3792
58,151,0.2309
58,334,0.0034
59,5,0.6361
59,69,0.3874
59,182,0.3571
59,338,0.1499
60,0,0.2404
60,80,0.3705
60,152,0.2305
60,334,0.0034
61,3,0.2130
61,168,0.1673
61,334,0.0034
62,3,0.2130
62,35,0.3498
62,264,0.1976
62,334,0.0034
63,0,0.2404
63,23,0.2091
63,321,0.2173
63,334,0.0034
64,0,0.2404
64,27,0.4982
64,150,0.1167
64,152,0.1153
64,334,0.0034
65,6,0.3305
65,53,0.4257
65,312,0.2739
65,335,0.1009
66,6,0.3305
66,53,0.4257
66,294,0.2407
66,334,0.0034
67,4,0.4678
67,36,0.3549
67,70,0.1604
67,122,0.2875
67,335,0.1009
68,3,0.2130
68,81,0.4273
68,168,0.1673
68,334,0.0034
69,3,0.2130
69,55,0.4601
69,153,0.2475
69,334,0.0034
70,0,0.2404
70,39,0.4333
70,253,0.1855
70,334,0.0034
71,0,0.2404
71,23,0.2091
71,210,0.0898
71,253,0.0928
71,334,0.0034
72,7,0.4586
72,107,0.4289
72,161,0.1553
72,260,0.1571
72,335,0.1009
73,0,0.2404
73,91,0.4007
73,152,0.1153
73,302,0.1253
73,334,0.0034
74,7,0.4586
74,112,0.4833
74,318,0.2098
74,334,0.0034
75,3,0.2130
75,98,0.2199
75,297,0.2395
75,334,0.0034
76,4,0.4678
76,70,0.3208
76,122,0.2875
76,334,0.0034
77,0,0.2404
77,23,0.2091
77,210,0.1796
77,334,0.0034
78,7,0.4586
78,63,0.5883
78,311,0.2001
78,334,0.0034
79,3,0.2130
79,111,0.2370
79,168,0.1673
79,334,0.0034
80,0,0.2404
80,23,0.2091
80,199,0.1885
80,334,0.0034
81,3,0.2130
81,11,0.3290
81,168,0.1673
81,334,0.0034
82,0,0.2404
82,56,0.4557
82,322,0.1936
82,334,0.0034
83,0,0.2404
83,32,0.3200
83,288,0.1949
83,334,0.0034
84,4,0.2339
84,5,0.3180
84,70,0.3208
84,121,0.1498
84,122,0.1437
84,334,0.0034
85,7,0.4586
85,20,0.3633
85,177,0.1882
85,254,0.1830
85,344,0.1959
86,3,0.2130
86,111,0.2370
86,311,0.2001
86,334,0.0034
87,0,0.2404
87,58,0.3123
87,136,0.2187
87,334,0.0034
88,3,0.2130
88,334,0.0034
89,4,0.4678
89,102,0.2815
89,244,0.2524
89,334,0.0034
90,7,0.4586
90,311,0.2001
90,334,0.0034
91,6,0.3305
91,38,0.4333
91,188,0.2328
91,334,0.0034
92,0,0.2404
92,23,0.2091
92,152,0.2305
92,334,0.0034
93,3,0.2130
93,98,0.2199
93,204,0.2367
93,334,0.0034
94,3,0.2130
94,103,0.4514
94,168,0.1673
94,334,0.0034
95,0,0.2404
95,80,0.3705
95,259,0.1986
95,334,0.0034
96,3,0.2130
96,94,0.5293
96,286,0.2065
96,334,0.0034
97,3,0.2130
97,111,0.2370
97,168,0.1673
97,334,0.0034
98,6,0.3305
98,75,0.3468
98,159,0.1034
98,174,0.0987
98,334,0.0034
99,4,0.4678
99,70,0.3208
99,121,0.0999
99,122,0.0958
99,307,0.0874
99,366,0.3000
100,3,0.2130
100,81,0.4273
100,144,0.1134
100,270,0.0961
100,334,0.0034
101,4,0.4678
101,70,0.3208
101,227,0.1571
101,274,0.1461
101,345,0.2083
102,3,0.2130
102,98,0.2199
102,212,0.1662
102,334,0.0034
103,5,0.6361
103,85,0.3884
103,188,0.1164
103,318,0.1049
103,334,0.0034
104,0,0.2404
104,80,0.3705
104,292,0.2842
104,334,0.0034
105,0,0.2404
105,322,0.1936
105,334,0.0034
106,7,0.4586
106,20,0.3633
106,177,0.1882
106,254,0.1830
106,342,0.1871
107,3,0.2130
107,60,0.4467
107,214,0.0544
107,215,0.0472
107,237,0.0592
107,270,0.0480
107,334,0.0034
108,6,0.3305
108,33,0.4632
108,155,0.2330
108,334,0.0034
109,0,0.2404
109,65,0.4056
109,322,0.1936
109,334,0.0034
110,4,0.4678
110,70,0.3208
110,306,0.3279
110,335,0.1009
111,3,0.2130
111,98,0.2199
111,135,0.2464
111,334,0.0034
112,6,0.3305
112,33,0.4632
112,155,0.2330
112,334,0.0034
113,3,0.2130
113,103,0.4514
113,151,0.2309
113,334,0.0034
114,6,0.3305
114,113,0.4494
114,188,0.2328
114,334,0.0034
115,0,0.2404
115,23,0.2091
115,150,0.1167
115,152,0.1153
115,334,0.0034
116,3,0.2130
116,93,0.3792
116,161,0.1553
116,212,0.0831
116,334,0.0034
117,0,0.2404
117,91,0.4007
117,142,0.3161
117,339,0.1667
118,4,0.4678
118,70,0.3208
118,307,0.2623
118,334,0.0034
119,6,0.3305
119,95,0.3682
119,231,0.2171
119,334,0.0034
120,3,0.2130
120,46,0.3814
120,318,0.2098
120,334,0.0034
121,3,0.2130
121,11,0.3290
121,151,0.2309
121,334,0.0034
122,7,0.4586
122,107,0.4289
122,236,0.2975
122,334,0.0034
123,0,0.2404
123,56,0.4557
123,322,0.1936
123,334,0.0034
124,0,0.2404
124,58,0.3123
124,172,0.1933
124,334,0.0034
125,6,0.3305
125,38,0.4333
125,159,0.1034
125,174,0.0987
125,334,0.0034
126,0,0.2404
126,91,0.4007
126,322,0.1936
126,334,0.0034
127,0,0.2404
127,23,0.2091
127,199,0.0942
127,210,0.0898
127,334,0.0034
128,0,0.2404
128,65,0.4056
128,293,0.2198
128,322,0.0968
128,334,0.0034
129,6,0.3305
129,33,0.4632
129,300,0.2545
129,338,0.1499
130,0,0.2404
130,32,0.3200
130,288,0.1949
130,334,0.0034
131,3,0.2130
131,98,0.2199
131,258,0.2420
131,334,0.0034
132,6,0.3305
132,57,0.3833
132,128,0.1282
132,205,0.1296
132,335,0.1009
133,3,0.2130
133,60,0.4467
133,215,0.1889
133,334,0.0034
134,6,0.3305
134,95,0.3682
134,230,0.1165
134,332,0.1184
134,334,0.0034
135,6,0.3305
135,53,0.4257
135,294,0.2407
135,334,0.0034
136,3,0.2130
136,111,0.2370
136,212,0.1662
136,334,0.0034
137,3,0.2130
137,98,0.2199
137,264,0.1976
137,334,0.0034
138,3,0.2130
138,98,0.2199
138,252,0.2237
138,334,0.0034
139,0,0.2404
139,106,0.5277
139,136,0.2187
139,334,0.0034
140,0,0.2404
140,44,0.5091
140,131,0.1576
140,152,0.1153
140,334,0.0034
141,3,0.2130
141,98,0.2199
141,138,0.2223
141,334,0.0034
142,0,0.2404
142,119,0.4594
142,172,0.1933
142,334,0.0034
143,3,0.2130
143,78,0.4915
143,311,0.2001
143,334,0.0034
144,3,0.2130
144,111,0.2370
144,212,0.1662
144,334,0.0034
145,0,0.2404
145,8,0.5310
145,322,0.1936
145,334,0.0034
146,7,0.4586
146,63,0.5883
146,225,0.2898
146,334,0.0034
147,0,0.2404
147,58,0.3123
147,333,0.1981
147,334,0.0034
148,0,0.2404
148,41,0.4221
148,302,0.2506
148,334,0.0034
149,1,0.4883
149,3,0.1065
149,55,0.4601
149,269,0.3040
149,334,0.0034
150,7,0.4586
150,20,0.1816
150,118,0.3292
150,225,0.2898
150,334,0.0034
151,7,0.4586
151,104,0.3247
151,289,0.2858
151,334,0.0034
152,3,0.2130
152,46,0.3814
152,307,0.2623
152,334,0.0034
153,0,0.2404
153,23,0.2091
153,199,0.0942
153,253,0.0928
153,334,0.0034
154,6,0.3305
154,9,0.3584
154,159,0.0690
154,174,0.0658
154,207,0.0816
154,334,0.0034
155,6,0.3305
155,16,0.3044
155,43,0.2631
155,144,0.0284
155,184,0.0423
155,214,0.0272
155,237,0.0296
155,270,0.0240
155,286,0.0258
155,297,0.0299
155,299,0.0282
155,335,0.1009
156,0,0.2404
156,41,0.4221
156,214,0.1089
156,302,0.1253
156,334,0.0034
157,3,0.2130
157,11,0.3290
157,231,0.1086
157,273,0.1342
157,334,0.0034
158,34,0.3870
158,157,0.1520
158,272,0.1571
158,334,0.0034
159,4,0.4678
159,102,0.2815
159,305,0.2619
159,334,0.0034
160,23,0.2091
160,183,0.1101
160,210,0.0898
160,334,0.0034
161,3,0.2130
161,98,0.2199
161,215,0.0945
161,237,0.1184
161,334,0.0034
162,5,0.6361
162,69,0.3874
162,155,0.2330
162,334,0.0034
163,0,0.2404
163,23,0.2091
163,333,0.1981
163,334,0.0034
164,110,0.4267
164,294,0.2407
164,335,0.1009
165,0,0.2404
165,91,0.4007
165,184,0.0846
165,217,0.0806
165,226,0.0820
165,257,0.0768
165,334,0.0034
166,3,0.2130
166,111,0.2370
166,212,0.1662
166,334,0.0034
167,0,0.2404
167,23,0.2091
167,172,0.0966
167,333,0.0991
167,334,0.0034
168,6,0.3305
168,38,0.4333
168,311,0.2001
168,334,0.0034
169,1,0.4883
169,6,0.1653
169,57,0.3833
169,138,0.2223
169,334,0.0034
170,3,0.2130
170,11,0.3290
170,282,0.2472
170,334,0.0034
171,3,0.2130
171,111,0.2370
171,144,0.0756
171,214,0.0726
171,237,0.0789
171,334,0.0034
172,4,0.4678
172,102,0.2815
172,244,0.2524
172,334,0.0034
173,6,0.3305
173,9,0.3584
173,129,0.2752
173,334,0.0034
174,0,0.2404
174,65,0.4056
174,172,0.1933
174,334,0.0034
175,5,0.6361
175,85,0.3884
175,222,0.2852
175,334,0.0034
176,4,0.4678
176,70,0.3208
176,298,0.3033
176,334,0.0034
177,4,0.4678
177,70,0.3208
177,121,0.1498
177,122,0.1437
177,336,0.1215
178,6,0.3305
178,48,0.4108
178,174,0.1973
178,334,0.0034
179,0,0.2404
179,61,0.5574
179,259,0.0993
179,321,0.1086
179,335,0.1009
180,6,0.3305
180,73,0.5145
180,159,0.1034
180,174,0.0987
180,334,0.0034
181,3,0.2130
181,111,0.2370
181,246,0.2310
181,286,0.1032
181,334,0.0034
182,0,0.2404
182,65,0.4056
182,322,0.1936
182,334,0.0034
183,7,0.4586
183,47,0.4003
183,254,0.3659
183,334,0.0034
184,0,0.2404
184,10,0.4380
184,259,0.1986
184,334,0.0034
185,0,0.2404
185,23,0.2091
185,199,0.0628
185,259,0.0662
185,321,0.0724
185,334,0.0034
186,0,0.2404
186,23,0.2091
186,333,0.1981
186,334,0.0034
187,7,0.4586
187,107,0.4289
187,154,0.2512
187,336,0.1215
188,0,0.2404
188,23,0.2091
188,172,0.0966
188,333,0.0991
188,335,0.1009
189,4,0.4678
189,70,0.3208
189,200,0.1692
189,306,0.1639
189,334,0.0034
190,7,0.4586
190,42,0.6893
190,282,0.2472
190,336,0.1215
191,0,0.2404
191,23,0.2091
191,333,0.1981
191,334,0.0034
192,5,0.6361
192,85,0.3884
192,324,0.3097
192,334,0.0034
193,6,0.3305
193,73,0.5145
193,159,0.1034
193,174,0.0987
193,334,0.0034
194,3,0.2130
194,111,0.2370
194,168,0.1673
194,334,0.0034
195,5,0.6361
195,85,0.3884
195,318,0.2098
195,334,0.0034
196,0,0.2404
196,32,0.3200
196,288,0.0974
196,309,0.2156
196,334,0.0034
197,5,0.6361
197,69,0.3874
197,155,0.1165
197,313,0.1528
197,334,0.0034
198,0,0.2404
198,27,0.4982
198,150,0.2334
198,334,0.0034
199,3,0.2130
199,35,0.3498
199,245,0.1369
199,290,0.1381
199,334,0.0034
200,6,0.3305
200,9,0.3584
200,129,0.2752
200,334,0.0034
201,6,0.3305
201,75,0.3468
201,247,0.2680
201,334,0.0034
202,5,0.6361
202,83,0.7530
202,234,0.5000
202,427,0.3000
203,3,0.2130
203,98,0.2199
203,168,0.1673
203,334,0.0034
204,3,0.2130
204,35,0.3498
204,245,0.0913
204,269,0.1013
204,290,0.0921
204,334,0.0034
205,6,0.3305
205,75,0.3468
205,278,0.1285
205,281,0.1263
205,334,0.0034
206,6,0.3305
206,48,0.4108
206,159,0.1034
206,174,0.0987
206,334,0.0034
207,0,0.2404
207,44,0.5091
207,137,0.2852
207,334,0.0034
208,4,0.4678
208,102,0.2815
208,225,0.2898
208,334,0.0034
209,6,0.3305
209,30,0.3764
209,281,0.2527
209,334,0.0034
210,3,0.2130
210,46,0.3814
210,297,0.2395
210,334,0.0034
211,0,0.2404
211,23,0.2091
211,333,0.1981
211,334,0.0034
212,3,0.2130
212,94,0.5293
212,231,0.2171
212,334,0.0034
213,7,0.4586
213,112,0.4833
213,124,0.2717
213,334,0.0034
214,73,0.5145
214,159,0.1034
214,174,0.0987
214,334,0.0034
215,6,0.3305
215,57,0.3833
215,231,0.2171
215,334,0.0034
216,1,0.9766
216,24,0.6353
216,184,0.0846
216,217,0.0806
216,226,0.0820
216,257,0.0768
216,334,0.0034
217,0,0.2404
217,23,0.2091
217,318,0.2098
217,334,0.0034
218,4,0.4678
218,70,0.3208
218,307,0.2623
218,335,0.1009
219,3,0.2130
219,15,0.5414
219,204,0.2367
219,334,0.0034
220,3,0.2130
220,111,0.2370
220,212,0.1662
220,334,0.0034
221,0,0.2404
221,80,0.3705
221,292,0.2842
221,334,0.0034
222,0,0.2404
222,32,0.3200
222,288,0.1949
222,334,0.0034
223,7,0.4586
223,20,0.3633
223,154,0.0837
223,161,0.1035
223,260,0.1047
223,336,0.1215
224,3,0.2130
224,111,0.2370
224,212,0.1662
224,334,0.0034
225,84,0.5980
225,250,0.3461
225,351,0.2364
226,6,0.3305
226,188,0.2328
226,334,0.0034
227,6,0.3305
227,53,0.4257
227,312,0.1369
227,316,0.1461
227,334,0.0034
228,0,0.2404
228,10,0.4380
228,259,0.1986
228,334,0.0034
229,3,0.2130
229,11,0.3290
229,151,0.1155
229,212,0.0831
229,334,0.0034
230,3,0.2130
230,111,0.2370
230,144,0.1134
230,270,0.0961
230,334,0.0034
231,3,0.2130
231,11,0.3290
231,168,0.0279
231,171,0.0377
231,214,0.0363
231,237,0.0395
231,264,0.0329
231,299,0.0376
231,334,0.0034
232,3,0.1065
232,6,0.1653
232,54,0.3231
232,75,0.1734
232,230,0.1165
232,332,0.1184
232,334,0.0034
233,3,0.2130
233,35,0.3498
233,215,0.1889
233,334,0.0034
234,3,0.2130
234,98,0.2199
234,286,0.2065
234,334,0.0034
235,4,0.4678
235,244,0.2524
235,334,0.0034
236,0,0.2404
236,65,0.4056
236,322,0.1936
236,334,0.0034
237,7,0.4586
237,104,0.3247
237,282,0.1236
237,318,0.1049
237,334,0.0034
238,6,0.3305
238,110,0.4267
238,334,0.0034
239,5,0.6361
239,69,0.3874
239,154,0.2512
239,334,0.0034
240,3,0.2130
240,98,0.2199
240,286,0.2065
240,334,0.0034
241,1,0.4883
241,3,0.1065
241,15,0.2707
241,20,0.1816
241,138,0.2223
241,334,0.0034
242,0,0.2404
242,23,0.2091
242,183,0.2202
242,334,0.0034
243,0,0.2404
243,91,0.4007
243,322,0.1936
243,334,0.0034
244,6,0.3305
244,88,0.5531
244,129,0.2752
244,334,0.0034
245,0,0.2404
245,106,0.5277
245,259,0.1986
245,334,0.0034
246,1,0.4883
246,6,0.1653
246,33,0.4632
246,231,0.2171
246,334,0.0034
247,6,0.3305
247,75,0.3468
247,159,0.1034
247,174,0.0987
247,334,0.0034
248,7,0.4586
248,112,0.4833
248,239,0.2935
248,334,0.0034
249,7,0.4586
249,20,0.3633
249,138,0.2223
249,336,0.1215
250,0,0.2404
250,23,0.2091
250,334,0.0034
251,0,0.2404
251,32,0.3200
251,288,0.1949
251,334,0.0034
252,3,0.2130
252,111,0.2370
252,294,0.2407
252,334,0.0034
253,6,0.3305
253,113,0.4494
253,214,0.2177
253,334,0.0034
254,6,0.3305
254,73,0.5145
254,159,0.1034
254,174,0.0987
254,334,0.0034
255,0,0.2404
255,32,0.3200
255,288,0.1949
255,334,0.0034
256,0,0.2404
256,41,0.4221
256,302,0.2506
256,334,0.0034
257,4,0.4678
257,70,0.3208
257,227,0.1571
257,274,0.1461
257,334,0.0034
258,1,0.4883
258,6,0.1653
258,110,0.4267
258,146,0.3329
258,335,0.1009
259,6,0.3305
259,95,0.3682
259,188,0.2328
259,334,0.0034
260,0,0.2404
260,23,0.2091
260,321,0.2173
260,334,0.0034
261,3,0.2130
261,111,0.2370
261,286,0.2065
261,334,0.0034
262,3,0.2130
262,111,0.2370
262,168,0.0836
262,264,0.0988
262,334,0.0034
263,18,0.2672
263,102,0.1407
263,224,0.2766
263,334,0.0034
264,3,0.2130
264,98,0.2199
264,311,0.2001
264,334,0.0034
265,3,0.2130
265,93,0.3792
265,269,0.3040
265,334,0.0034
266,0,0.2404
266,23,0.2091
266,150,0.2334
266,334,0.0034
267,5,0.6361
267,69,0.3874
267,155,0.2330
267,334,0.0034
268,3,0.2130
268,213,0.1289
268,311,0.1000
268,334,0.0034
269,0,0.2404
269,23,0.2091
269,210,0.1796
269,334,0.0034
270,3,0.2130
270,60,0.4467
270,318,0.2098
270,334,0.0034
271,1,0.4883
271,4,0.2339
271,102,0.2815
271,244,0.2524
271,334,0.0034
272,7,0.4586
272,104,0.3247
272,282,0.2472
272,334,0.0034
273,3,0.2130
273,35,0.3498
273,171,0.0755
273,270,0.0641
273,299,0.0752
273,334,0.0034
274,3,0.2130
274,98,0.2199
274,173,0.2198
274,215,0.0945
274,334,0.0034
275,6,0.3305
275,30,0.3764
275,236,0.2975
275,334,0.0034
276,6,0.3305
276,75,0.3468
276,159,0.1034
276,174,0.0987
276,334,0.0034
277,6,0.3305
277,73,0.5145
277,207,0.1224
277,247,0.1340
277,334,0.0034
278,3,0.2130
278,11,0.1645
278,91,0.2003
278,168,0.1673
278,334,0.0034
279,6,0.3305
279,174,0.1973
279,334,0.0034
280,3,0.2130
280,78,0.4915
280,311,0.2001
280,334,0.0034
281,3,0.2130
281,212,0.1662
281,334,0.0034
282,4,0.4678
282,102,0.2815
282,224,0.2766
282,334,0.0034
283,3,0.2130
283,98,0.2199
283,204,0.2367
283,334,0.0034
284,0,0.2404
284,56,0.4557
284,321,0.2173
284,334,0.0034
285,3,0.2130
285,111,0.2370
285,286,0.2065
285,334,0.0034
286,4,0.4678
286,102,0.2815
286,305,0.2619
286,334,0.0034
287,6,0.3305
287,30,0.3764
287,318,0.2098
287,335,0.1009
288,3,0.2130
288,111,0.2370
288,168,0.1673
288,334,0.0034
289,3,0.2130
289,111,0.2370
289,311,0.2001
289,334,0.0034
290,4,0.4678
290,102,0.2815
290,291,0.3033
290,334,0.0034
291,7,0.4586
291,104,0.3247
291,161,0.3106
291,334,0.0034
292,0,0.1202
292,6,0.1653
292,48,0.4108
292,230,0.1165
292,332,0.1184
292,334,0.0034
293,7,0.4586
293,20,0.3633
293,278,0.1285
293,281,0.1263
293,334,0.0034
294,0,0.1202
294,3,0.1065
294,39,0.4333
294,136,0.1094
294,253,0.0928
294,334,0.0034
295,3,0.2130
295,94,0.5293
295,168,0.1673
295,334,0.0034
296,3,0.2130
296,103,0.4514
296,151,0.2309
296,334,0.0034
297,3,0.2130
297,98,0.2199
297,144,0.0756
297,214,0.0726
297,270,0.0641
297,334,0.0034
298,7,0.4586
298,47,0.4003
298,307,0.2623
298,335,0.1009
299,3,0.2130
299,98,0.2199
299,135,0.1232
299,154,0.1256
299,334,0.0034
300,3,0.2130
300,11,0.3290
300,215,0.1889
300,334,0.0034
301,5,0.6361
301,69,0.3874
301,155,0.2330
301,334,0.0034
302,0,0.2404
302,32,0.3200
302,288,0.1949
302,334,0.0034
303,3,0.2130
303,98,0.2199
303,212,0.1662
303,334,0.0034
304,3,0.2130
304,46,0.3814
304,318,0.2098
304,334,0.0034
305,23,0.2091
305,333,0.1981
305,334,0.0034
306,3,0.2130
306,111,0.2370
306,168,0.1673
306,334,0.0034
307,6,0.3305
307,128,0.1282
307,205,0.1296
307,337,0.1389
308,3,0.2130
308,111,0.2370
308,264,0.0988
308,286,0.1032
308,334,0.0034
309,3,0.2130
309,11,0.3290
309,204,0.1184
309,231,0.1086
309,334,0.0034
310,95,0.3682
310,188,0.2328
310,334,0.0034
311,6,0.3305
311,48,0.4108
311,188,0.2328
311,334,0.0034
312,4,0.4678
312,102,0.2815
312,224,0.2766
312,334,0.0034
313,6,0.3305
313,9,0.3584
313,207,0.2448
313,334,0.0034
314,6,0.3305
314,75,0.3468
314,230,0.1165
314,332,0.1184
314,334,0.0034
315,61,0.5574
315,150,0.1167
315,152,0.1153
315,335,0.1009
316,6,0.3305
316,53,0.4257
316,312,0.2739
316,334,0.0034
317,0,0.2404
317,58,0.3123
317,322,0.1936
317,334,0.0034
318,5,0.6361
318,69,0.3874
318,154,0.2512
318,335,0.1009
319,3,0.2130
319,111,0.2370
319,264,0.1976
319,334,0.0034
320,3,0.2130
320,111,0.2370
320,258,0.1210
320,270,0.0961
320,334,0.0034
321,0,0.2404
321,32,0.3200
321,334,0.0034
322,6,0.3305
322,68,0.5716
322,212,0.1662
322,334,0.0034
323,3,0.2130
323,111,0.2370
323,151,0.2309
323,334,0.0034
324,7,0.4586
324,20,0.3633
324,198,0.1229
324,328,0.1266
324,334,0.0034
325,2,0.5000
325,3,0.1065
325,93,0.3792
325,153,0.2475
325,334,0.0034
326,4,0.4678
326,102,0.2815
326,241,0.3279
326,334,0.0034
327,6,0.3305
327,75,0.3468
327,159,0.1034
327,174,0.0987
327,334,0.0034
328,7,0.4586
328,17,0.5005
328,294,0.2407
328,334,0.0034
329,7,0.4586
329,104,0.3247
329,161,0.1035
329,213,0.0859
329,260,0.1047
329,341,0.1815
330,0,0.2404
330,65,0.4056
330,172,0.1933
330,334,0.0034
331,7,0.4586
331,47,0.4003
331,196,0.1502
331,316,0.1461
331,334,0.0034
332,6,0.3305
332,9,0.3584
332,129,0.2752
332,335,0.1009
333,7,0.4586
333,112,0.4833
333,239,0.2935
333,334,0.0034
334,4,0.4678
334,102,0.2815
334,138,0.2223
334,334,0.0034
335,0,0.2404
335,58,0.3123
335,322,0.1936
335,334,0.0034
336,0,0.2404
336,23,0.2091
336,183,0.0734
336,199,0.0628
336,210,0.0599
336,334,0.0034
337,6,0.3305
337,117,0.4873
337,230,0.1165
337,332,0.1184
337,334,0.0034
338,0,0.2404
338,65,0.4056
338,322,0.1936
338,334,0.0034
339,7,0.4586
339,112,0.4833
339,239,0.2935
339,334,0.0034
340,6,0.3305
340,30,0.3764
340,278,0.1285
340,281,0.1263
340,334,0.0034
341,4,0.4678
341,84,0.5980
341,141,0.1707
341,275,0.1678
341,334,0.0034
342,6,0.3305
342,9,0.3584
342,207,0.2448
342,334,0.0034
343,0,0.2404
343,41,0.4221
343,240,0.1410
343,302,0.1253
343,334,0.0034
344,7,0.4586
344,104,0.3247
344,282,0.2472
344,334,0.0034
345,3,0.2130
345,67,0.4689
345,231,0.2171
345,334,0.0034
346,3,0.2130
346,11,0.3290
346,153,0.2475
346,334,0.0034
347,3,0.2130
347,111,0.2370
347,286,0.2065
347,334,0.0034
348,0,0.2404
348,23,0.2091
348,199,0.0471
348,210,0.0449
348,253,0.0464
348,321,0.0543
348,334,0.0034
349,3,0.2130
349,98,0.2199
349,270,0.0961
349,297,0.1198
349,334,0.0034
350,4,0.4678
350,102,0.2815
350,305,0.2619
350,335,0.1009
351,3,0.2130
351,98,0.2199
351,264,0.1976
351,334,0.0034
352,0,0.2404
352,58,0.3123
352,322,0.1936
352,334,0.0034
353,4,0.4678
353,102,0.2815
353,190,0.3048
